Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"керамзит купить в екатеринбурге цена за мешок";2;7;;1;5;5;4;4;4;0.3;858000;"www.keramzit66.ru";"/catalog/keramzit/v-meshkah/keramzit_v_mkr_ekaterinburg.html";4
"керамзитобетонные блоки цена";6;3;;;4433;296;19;4;4;37.4;887000;"www.keramzit66.ru";"/catalog/stroitelnyy-blok/keramzitoblok/";1
"продажа угля в мешках";2;4;;;233;21;7;4;4;0.3;544000;"www.keramzit66.ru";"/catalog/ugol/kamennyy/Ugol-dpk-25kg.html";6
"песок 25 кг";5;3;;;3489;33;75;4;4;0.3;1000000;"www.keramzit66.ru";"/catalog/pesok/pesok-dla-detskix-pesocnic.html";37
"керамзит в мешках";5;3;;;7061;329;115;4;4;31.8;229000;"www.keramzit66.ru";"/catalog/keramzit/v-meshkah/keramzit_mechki_cena.html";1
"песок мелкий";6;2;;;8027;96;107;5;4;0.3;288000;"www.keramzit66.ru";"/catalog/pesok/";19
"непучинистый грунт для обратной засыпки";4;5;;;107;45;10;5;3;58.2;616000;"www.keramzit66.ru";"/catalog/zemla/zemla-cernozem.html";2
"купить щебень на карьере";11;4;;;72;10;5;5;3;10.7;798000;"www.keramzit66.ru";"/catalog/sheben/za-kub/";15
"грунт земля купить с доставкой";8;5;;;182;26;5;3;3;27;1000000;"www.keramzit66.ru";"/catalog/zemla/zemla_s_dostavkoi-1.html";20
"мраморная крошка цена";5;3;;;3676;169;32;3;3;12;2000;"www.keramzit66.ru";"/catalog/mramor/";2
"сухой асфальт в мешках";6;4;;;875;177;11;5;3;11.3;267000;"www.keramzit66.ru";"/catalog/asfalt/holodnyy/asfalt-holodnyy-v-meshkah-po-30-kg.html";4
"асфальтная срезка";2;2;;;856;36;88;3;3;15.8;179000;"www.keramzit66.ru";"/catalog/asfalt/srezka/srezka-asfalta.html";14
"глина в мешках";3;3;;;954;39;27;3;3;0.3;220000;"www.keramzit66.ru";"/catalog/glina/dlya-gidrozamka/glina-v-meshkah.html";4
"щебень 20 40 с доставкой";4;5;;;2252;9;187;3;3;99.1;2000000;"www.keramzit66.ru";"/catalog/sheben/za-tonnu/SHeben-fr-20-40-40-70-v-MKR-po-1tn.html";36
"чернозем купить с доставкой";1;4;;;15396;676;175;26;3;50.9;803000;"www.keramzit66.ru";"/catalog/zemla/";7
"керамзитоблок купить в екатеринбурге цена за куб";4;7;;1;5;4;4;3;3;5.7;1000000;"www.keramzit66.ru";"/catalog/stroitelnyy-blok/keramzitoblok/keramzitoblok_m75-1-1-1.html";4
"песок в мешках купить";9;4;;;7143;299;130;14;3;28.8;23000;"www.keramzit66.ru";"/catalog/pesok/pesok-dla-detskix-pesocnic.html";1
"эбк 2";5;2;;;361;32;22;3;3;0.3;3000000;"www.keramzit66.ru";"/catalog/bitumnay-emulsia/emulsiya-bitumnaya-kationnaya-dorozhnaya-ebdk-s.html";4
"купить чернозем в мешках с доставкой";2;6;;;1991;190;24;10;3;14.5;808000;"www.keramzit66.ru";"/catalog/zemla/zemla_s_dostavkoi-1.html";1
"купить холодный асфальт в екатеринбурге в мешках";2;7;;1;39;3;92;92;3;33.1;703000;"www.keramzit66.ru";"/catalog/asfalt/holodnyy/asfalt-holodnyy-v-meshkah-po-30-kg.html";6
"торф купить в мешках";4;4;;;2336;136;75;11;3;19.1;805000;"www.keramzit66.ru";"/catalog/torf/";3
"дресва купить в екатеринбурге";2;4;;1;14;3;14;3;3;11.7;851000;"www.keramzit66.ru";"/catalog/dresva/dresva_0_20.html?yadclid=2687189&yadordid=187344998";5
"купить чернозем в екатеринбурге с доставкой цена";5;7;;1;4;3;5;5;3;7.5;995000;"www.keramzit66.ru";"/catalog/zemla/zemla_s_dostavkoi.html";1
"купить мраморную крошку в екатеринбурге в мешках";2;7;;1;11;6;7;7;3;54.6;776000;"www.keramzit66.ru";"/catalog/mramor/";1
