Домен;Темы сайта;Видимость в поиске;Видимость 30 дней назад;Видимость 90 дней назад;Видимость 180 дней назад;Видимость 365 дней назад;Прогресс видимости за 30 дней;Прогресс видимости за 90 дней;Прогресс видимости за 180 дней;Прогресс видимости за 365 дней;Ключей в органике;Позиций в органике;Трафик;Ключей в контексте;Активных объявлений в контексте;Всего объявлений в контексте;Страницы;Процент в топ 1 по домену;Процент в топ 3 по домену;Процент в топ 5 по домену;Процент в топ 10 по домену;domain_organic_keywords_top20_procent;domain_organic_keywords_top30_procent;Рейтинг домена по трафику;Рейтинг домена по ключам;Пересекающиеся ключи;Похожесть
"www.skala96.ru";"40 щебень 20";0.73;0.92;1.49;1.58;0.46;-0.19;-0.76;-0.85;0.27;23;23;9;0;0;76;10;4;9;30;91;100;100;185882;176054;12;13
"xn--96-mlc7bbfbo.xn--p1ai";"купить екатеринбург щебень";0.33;2.1;2.33;2.57;0.18;-1.77;-2;-2.24;0.15;16;16;4;0;0;0;9;6;12;12;81;100;100;285666;221343;10;13
"kapiteltk.com";"екатеринбурге купить щебень мраморный отсев мешках песок";6.11;6.29;6.8;5.94;5.86;-0.18;-0.69;0.17;0.25;146;146;75;0;0;12;64;8;15;32;85;99;100;46578;44761;28;12
"samosval-ekb.ru";"купить екатеринбурге доставкой пщс скальный цена грунт";1.47;0;0;0;0;1.47;1.47;1.47;1.47;17;17;18;0;0;0;10;6;29;41;100;100;100;121678;216681;9;12
"ntk1.ru";"нтк ооо екатеринбург";0.41;0.5;0.56;0.5;0.64;-0.09;-0.15;-0.09;-0.23;12;12;5;0;0;15;4;17;50;58;92;100;100;265488;271894;7;11
"asfaltirovanie66.ru";"екатеринбург асфальтирование м2 асфальта цена демонтаж материалом";2.28;4.03;3.35;3.17;1.19;-1.75;-1.07;-0.89;1.09;81;81;28;68;23;412;18;1;14;32;96;100;100;91610;71141;18;11
"ekaterinburg.speckvarc.ru";"песок пескоструя кварцевый купить екатеринбурге оптом";1.14;1.01;0.56;0.4;0.18;0.13;0.58;0.74;0.96;44;44;14;2;2;68;13;2;20;43;98;100;100;141236;111625;12;10
"shebenshop.ru";"камень бутовый";0.33;0.34;0.19;0.2;0.18;-0.01;0.14;0.13;0.15;14;14;4;0;0;24;24;14;14;36;79;100;100;290510;242381;7;10
"xn--j1any.xn--p1ai";"щебень карьер седельниковский щебеночный купить доставкой 20";3.75;4.53;4.47;6.04;4.21;-0.78;-0.72;-2.29;-0.46;65;66;46;0;0;46;18;14;30;47;91;100;100;65279;84067;15;10
"ekaterinburg.pesok-quartz.ru";"песок пескоструя екатеринбурге купить";0.41;0.42;0.37;0.5;1.65;-0.01;0.04;-0.09;-1.24;31;31;5;21;21;187;10;3;16;35;100;100;100;250439;141965;11;10
"nkrss.ru";"";0.73;0.76;0.47;0.59;0.46;-0.03;0.26;0.14;0.27;34;35;9;2;2;10;23;6;26;34;77;100;100;184276;134037;11;10
"agrochimservice-t.ru";"екатеринбург агрохимсервис сайт официальный землю савкова евгения";2.85;3.1;3.35;3.57;1.37;-0.25;-0.5;-0.72;1.48;33;34;35;0;0;39;6;15;35;50;94;100;100;78420;137094;10;9
"xn--80acehqg1abgbqfmdl.xn--p1ai";"купить екатеринбурге отсев жби кольца доставкой цена";3.01;5.96;7.26;7.82;2.66;-2.95;-4.25;-4.81;0.35;84;84;37;2;2;86;45;4;10;36;94;100;100;74727;68732;15;9
"ekaterinburg.scheben-rf.ru";"тонну стоимость щебень";0.08;0.08;0.09;0;0;0;-0.01;0.08;0.08;20;20;1;0;0;0;6;0;10;25;85;100;100;509343;189684;7;8
"ekaterinburg.grunt1.ru";"";0.57;0.59;0.09;0;0;-0.02;0.48;0.57;0.57;25;27;7;0;0;0;7;7;33;44;81;100;100;212203;165259;8;8
"ural-izvest.ru";"20 щебень негашеная известь пщс екатеринбурге купить";1.14;1.17;1.3;2.67;2.11;-0.03;-0.16;-1.53;-0.97;40;40;14;0;0;87;16;8;10;32;95;100;100;142256;120093;9;8
"xn--90ahb6abfh7e5a.xn--p1ai";"екатеринбурге щебень карьер сагра купить";0.57;2.18;3.63;5.05;2.93;-1.61;-3.06;-4.48;-2.36;11;11;7;0;0;0;6;18;18;27;91;100;100;210359;280973;5;8
"www.betongrupp-ekb.ru";"екатеринбурге купить тротуарная плитка цена бетон лэп";7.41;7.3;7.82;12.08;9.52;0.11;-0.41;-4.67;-2.11;336;337;91;0;0;24;360;2;14;31;90;100;100;40755;22386;23;7
"www.ntk-corp.ru";"нтк ntk екатеринбург";2.12;2.35;0.84;0.3;0.19;-0.23;1.28;1.82;1.93;16;16;26;0;0;0;3;38;50;62;94;100;100;95352;222849;5;7
"ekaterinburg.sowork.ru";"автокран екатеринбурге аренда экскаватора услуги погрузчика";1.22;1.26;0;0;0;-0.04;1.22;1.22;1.22;19;19;15;36;13;13;12;0;0;11;79;100;100;134825;198827;5;6
"granit96.ru";"карьер горнощитский официальный сайт южно щебень екатеринбург";4.48;5.45;5.68;4.65;2.47;-0.97;-1.2;-0.17;2.01;43;44;55;0;0;391;11;27;41;59;93;100;100;57707;113322;8;6
"mramor-pro.ru";"мраморный щебень материал нефтяными белый екатеринбург черный";0.73;1.09;1.02;1.19;0.18;-0.36;-0.29;-0.46;0.55;34;34;9;0;0;1;20;0;18;24;100;100;100;181105;133314;6;5
"baltsheben.ru";"";0.08;0.08;0.28;0.2;0.27;0;-0.2;-0.12;-0.19;23;24;1;0;0;0;17;4;8;33;88;100;100;506956;172891;5;5
"sin-s.ru";"манипулятора екатеринбург аренда кого компании парк объявления";0.65;0.84;0.74;1.39;5.68;-0.19;-0.09;-0.74;-5.03;25;26;8;196;83;477;9;15;19;27;92;100;100;191345;163645;5;5
"scheben-opt.ru";"купить доставкой подольске песок камень смесь песчано";1.38;1.34;1.68;1.49;0.37;0.04;-0.3;-0.11;1.01;66;67;17;0;0;0;30;4;21;37;93;100;100;125400;83077;7;5
"landshaft-kamen.com";"екатеринбурге камень купить плитняк галтовка булыжник дагестанский";3.34;4.45;6.42;7.43;5.86;-1.11;-3.08;-4.09;-2.52;237;238;41;0;0;0;151;3;13;38;95;100;100;69907;30106;13;4
"xn--80acblbc8abhjhpohle1a.xn--p1ai";"щебня плотность карьер 20 насыпная стоимость 40";1.47;1.26;1.21;1.49;1.83;0.21;0.26;-0.02;-0.36;58;59;18;0;0;0;28;10;15;24;81;100;100;121083;91426;6;4
"zlatolit-ural.ru";"плитняк купить екатеринбурге камень";4.64;4.36;3.91;2.87;1.37;0.28;0.73;1.77;3.27;111;111;57;0;0;10;44;10;42;55;93;100;100;56544;55723;7;4
"ekaterinburg.kamenclub.ru";"екатеринбурге плитняк купить камень 40 природный галька";2.12;2.01;0.65;0.4;0;0.11;1.47;1.72;2.12;106;106;26;0;0;0;29;4;23;45;92;100;100;94901;57548;8;4
"xn----96-53dka4b7brdyl1a8i.xn--p1ai";"мусора вывоз екатеринбург строительного тбо недорого екб";3.18;2.77;3.54;4.56;3.3;0.41;-0.36;-1.38;-0.12;52;52;39;21;25;497;1;0;4;21;94;100;100;73051;99311;5;4
"ural.market";"урала малышевский города водопады уральские места гранит";2.77;2.01;0.84;0.59;0.27;0.76;1.93;2.18;2.5;68;70;34;0;0;21;27;10;23;39;94;100;100;79522;80962;5;3
"ekaterinburg.regtorg.ru";"купить екатеринбурге цена контейнер области свердловской б";65.5;68.64;66.02;61.1;53.38;-3.14;-0.52;4.4;12.12;3695;3696;804;0;0;0;4569;1;11;26;84;100;100;7772;2751;38;3
"xn--96-ylclkanagclh.xn--p1ai";"мусора вывоз екатеринбург ломовоз строительного заказать аренда";22.4;24.67;28.49;19.41;4.12;-2.27;-6.09;2.99;18.28;140;142;275;0;0;19;14;13;47;73;96;100;100;17910;46258;6;3
"arenda-spectehnika.ru";"аренда екатеринбурге спецтехники манипулятор свой воровайка кого";5.62;6.55;3.91;5.35;5.31;-0.93;1.71;0.27;0.31;82;82;69;0;0;0;17;1;9;34;90;100;100;49396;70295;6;3
"tdborok.ru";"бутовый фундамент щебня калькулятор нерудные материалы камень";4.15;4.11;4.19;4.06;3.02;0.04;-0.04;0.09;1.13;136;136;51;0;0;0;22;8;29;49;96;100;100;60383;47151;6;3
"uslugi.yandex.ru";"екатеринбург ремонт цена дому массаж недорого юрист";8671.79;7681.87;7092.76;6899.33;6190.15;989.92;1579.03;1772.46;2481.64;87635;87769;106445;3964;2706;217008;52623;11;41;62;96;100;100;141;159;158;3
"xn--96-6kcipyr6a0a.xn--p1ai";"мусора вывоз екатеринбург строительного муравей 96 квартиры";7.58;7.47;6.98;6.04;4.49;0.11;0.6;1.54;3.09;102;104;93;0;0;0;16;9;14;32;97;100;100;39894;59209;5;3
"www.xn--66-9kctl.xn--p1ai";"екатеринбурге купить плитка тротуарная фбс блоки производителя";4.48;5.29;9.03;12.97;11.17;-0.81;-4.55;-8.49;-6.69;191;191;55;0;0;0;201;1;7;21;84;100;100;58001;36060;7;3
"www.avito.ru";"екатеринбурге купить квартиру дом цена авито работа";82151.07;85003.93;92225.52;93774.25;92954.31;-2852.86;-10074.45;-11623.18;-10803.24;957883;995162;1008393;95503;44041;743046;711701;18;41;60;91;100;100;13;11;351;2
