Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"щебень мелкой фракции";5;3;;;1410;98;40;9;9;43.2;304000;"www.scheben-otsev66.ru";"/cat/scheben";
"плотность щебня 40 70";1;4;;;577;130;22;9;9;0.3;970000;"www.scheben-otsev66.ru";"/stati/nasypnaya-plotnost-schebnya-po-fraktsiyam";1
"плотность щебня 40 70";3;4;;;577;130;22;9;9;0.3;970000;"www.scheben-otsev66.ru";"/stati/nasypnaya-plotnost-schebnya-po-fraktsiyam";0
"щебень купить м3";1;3;;;349;133;11;9;9;0.3;3000000;"www.scheben-otsev66.ru";"/price_na_scheben";0
"а гранит екатеринбург";2;3;;1;35;11;14;8;8;25.8;2000;"www.scheben-otsev66.ru";"/";-1
"купить щебень в екатеринбурге с доставкой цена за куб";2;9;;1;45;13;30;9;8;69.2;1000000;"www.scheben-otsev66.ru";"/price_na_scheben";2
"щебеночно песчаная смесь";10;3;;;5913;424;142;16;8;17.8;171000;"www.scheben-otsev66.ru";"/cat/peschano-schebenochnaya-smes";-4
"гранитный карьер";6;2;;;3480;61;555;14;8;12.8;507000;"www.scheben-otsev66.ru";"/uralskiy-karer";4
"насыпная плотность щебня";1;3;;;1942;236;47;8;8;4.9;59000;"www.scheben-otsev66.ru";"/stati/nasypnaya-plotnost-schebnya-po-fraktsiyam";0
"щебень с доставкой";8;3;;;32411;136;864;8;8;50.7;569000;"www.scheben-otsev66.ru";"/price_na_scheben";-4
"щебень тонна цена";2;3;;;4241;52;35;8;8;55.8;858000;"www.scheben-otsev66.ru";"/price_na_scheben";4
"монетный щебеночный карьер";2;3;;;29;7;14;7;7;20.2;469000;"www.scheben-otsev66.ru";"/karyer-monetnyj";2
"щебень 40 70";4;3;;;9767;380;137;7;7;33.4;1000000;"www.scheben-otsev66.ru";"/cat/shcheben-40-70";6
