Домен;Темы сайта;Видимость в поиске;Видимость 30 дней назад;Видимость 90 дней назад;Видимость 180 дней назад;Видимость 365 дней назад;Прогресс видимости за 30 дней;Прогресс видимости за 90 дней;Прогресс видимости за 180 дней;Прогресс видимости за 365 дней;Ключей в органике;Позиций в органике;Трафик;Ключей в контексте;Активных объявлений в контексте;Всего объявлений в контексте;Страницы;Процент в топ 1 по домену;Процент в топ 3 по домену;Процент в топ 5 по домену;Процент в топ 10 по домену;domain_organic_keywords_top20_procent;domain_organic_keywords_top30_procent;Рейтинг домена по трафику;Рейтинг домена по ключам;Пересекающиеся ключи;Похожесть
"drovtorg.ru";"дрова екатеринбурге купить доставкой березовые колотые цена";9.12;9.57;10.43;9.51;6.32;-0.45;-1.31;-0.39;2.8;132;138;112;4;4;81;16;7;22;36;91;100;100;34962;48451;6;2
"npk196.com";"изолэп технические характеристики mastic праймер марки нефтепромкомплект";6.27;6.29;5.87;5.64;4.21;-0.02;0.4;0.63;2.06;215;219;77;642;432;1467;153;11;25;42;80;100;100;45791;32641;6;2
"zavodgbk.su";"блоки фбс купить екатеринбурге жби плита перекрытия";15.8;18.21;24.4;27.63;18.68;-2.41;-8.6;-11.83;-2.88;387;388;194;0;0;0;193;11;31;50;92;100;100;23327;19918;10;2
"beton-ekaterinburg.ru";"бетон екатеринбурге цена купить доставкой куб м3";23.22;21.57;17.04;13.07;5.22;1.65;6.18;10.15;18;263;263;285;0;0;0;54;16;51;68;98;100;100;17396;27616;6;2
"cdvor.ru";"екатеринбурге купить цена плита лист строительный двор";99.55;89.2;51.77;31.1;24.72;10.35;47.78;68.45;74.83;2480;2483;1222;70;52;339;869;6;23;42;83;99;100;5559;3895;28;2
"ltsr.ru";"асфальт портландцемент сухих строительных производство делают смесей";4.89;5.71;7.54;7.53;4.21;-0.82;-2.65;-2.64;0.68;178;182;60;0;0;0;55;14;32;54;96;100;100;54145;38103;6;2
"escada-ekb.ru";"екатеринбурге купить кирпич твинблок плита блок инси";3.83;4.28;5.59;9.9;11.72;-0.45;-1.76;-6.07;-7.89;244;245;47;0;0;85;311;3;12;24;77;99;100;64244;29448;6;2
"oil-export.com";"мокрый асфальт тиал дорожный бни бризол нефтяной";4.89;4.87;4.66;4.56;4.39;0.02;0.23;0.33;0.5;167;168;60;26;25;1109;148;10;29;45;86;100;100;54287;40206;5;2
"1levsha.ru";"купить екатеринбурге мм композитная доска плитка цена";29.57;22.07;1.77;0.5;0.09;7.5;27.8;29.07;29.48;569;570;363;0;0;4;399;12;29;47;83;100;100;14589;14374;7;1
"novostroy96.ru";"екатеринбурге купить цена окна пластиковые потолок поликарбонат";76.25;71.66;44.32;31.89;17.85;4.59;31.93;44.36;58.4;2581;2585;936;0;0;0;832;3;14;31;84;99;100;6881;3760;16;1
"ekaterinburg.stroyportal.ru";"екатеринбурге купить бу цена панели березовский свердловская";5.3;6.21;8.01;12.18;15.2;-0.91;-2.71;-6.88;-9.9;805;806;65;0;0;0;3991;0;4;15;74;100;100;51710;10574;7;1
"ekb.saturn.net";"екатеринбурге купить цена мм строительный гипсокартон магазин";249.53;236.21;215;208.26;190.99;13.32;34.53;41.27;58.54;5484;5682;3063;4622;1706;17709;3311;6;18;33;80;100;100;2637;1958;18;1
"beton24.ru";"купить бетон екатеринбурге завод 24 возьму отходы";4.24;3.94;3.72;3.37;3.3;0.3;0.52;0.87;0.94;460;461;52;128;91;276;501;1;6;19;85;100;100;59890;17209;6;1
"strsr.ru";"купить екатеринбурге поликарбонат стройсервис доска арамиль вагонка";39.43;44.81;36.31;34.26;19.14;-5.38;3.12;5.17;20.29;1233;1259;484;248;85;348;666;2;8;18;78;99;100;11615;7282;6;1
"drev-master.ru";"дом сруб бревна купить ключ цена баня";93.2;95.41;74.21;62.29;73.52;-2.21;18.99;30.91;19.68;401;405;1144;2;3;717;114;36;59;69;97;100;100;5848;19323;6;1
"youla.ru";"екатеринбурге купить авито объявления юла котенок бу";2197.58;2189.7;3602.76;4228.79;4351.14;7.88;-1405.18;-2031.21;-2153.56;34274;34325;26975;1;1;96;34892;2;15;34;88;100;100;483;368;26;1
"ekaterinburg.domostroy.shop";"екатеринбурге купить каталог товаров цены магазин дом";426.32;414.86;295.08;241.34;151.25;11.46;131.24;184.98;275.07;5685;6057;5233;3287;1097;4442;1462;5;18;37;89;100;100;1711;1892;15;1
"gipermarketdom.ru";"екатеринбург дом купить каталог магазин товаров гипермаркет";1742.99;1727.26;1437.12;1585.87;1664.23;15.73;305.87;157.12;78.76;22522;23538;21395;14735;7265;78935;6864;5;16;32;90;100;100;572;529;44;1
"sip2a.ru";"сип 110 кабель св 2х16 ограничитель п20";15.48;16.36;14.15;11.39;9.06;-0.88;1.33;4.09;6.42;603;613;190;0;0;0;355;11;30;50;83;98;100;23618;13642;6;1
"ekb.snabservis.ru";"гост купить лента 97 1412 сталь силикагель";9.53;9.73;8.47;6.64;4.3;-0.2;1.06;2.89;5.23;330;331;117;0;0;321;281;6;16;32;80;100;100;33818;22712;6;1
"promportal.su";"купить екатеринбурге цена бу россии авито jcb";80.16;69.06;39.95;34.66;29.21;11.1;40.21;45.5;50.95;5362;5511;984;0;0;147;5198;1;12;28;78;100;100;6593;1995;14;1
"ekb.agropoliprom.ru";"купить екатеринбурге тарпаулин агроткань растений агроволокно агробалт";6.52;6.21;3.45;2.67;1.74;0.31;3.07;3.85;4.78;337;338;80;0;0;0;154;2;9;28;83;100;100;44272;22299;5;1
"ekaterinburg.anepmetall.ru";"екатеринбург купить металл анэп труба алюминий проволока";28.43;26.68;18.53;10.2;12.82;1.75;9.9;18.23;15.61;1412;1412;349;161;167;3069;1422;3;14;29;81;100;100;14989;6419;5;1
"uslugi.yandex.ru";"екатеринбург ремонт цена дому массаж недорого юрист";8671.79;7681.87;7092.76;6899.33;6190.15;989.92;1579.03;1772.46;2481.64;87635;87769;106445;3964;2706;217008;52623;11;41;62;96;100;100;141;159;88;1
"www.ozon.ru";"купить екатеринбурге волос лица крем цена электрический";99792.5;101226.26;106370.73;103391.37;96945;-1433.76;-6578.23;-3598.87;2847.5;1153012;1321383;1224939;40487;17265;813822;792405;21;49;65;91;100;100;11;9;194;1
"promindex.ru";"екатеринбург купить бу поверка счетчиков электроэнергии области";18.98;18.46;12.76;8.91;1.28;0.52;6.22;10.07;17.7;1833;1833;233;0;0;0;1504;0;5;15;74;100;100;20402;5084;13;1
"www.wildberries.ru";"купить екатеринбург интернет магазин цена валберис официальный";68070.43;65482.24;58128.64;51055.6;39941.47;2588.19;9941.79;17014.83;28128.96;903470;1029930;835555;14567;6957;120584;643483;10;42;63;90;100;100;16;12;149;1
"pdn66.ru";"плита пп10 екатеринбург балка пдн бетонстрой купить";16.13;15.1;9.87;6.64;3.85;1.03;6.26;9.49;12.28;540;544;198;0;0;53;303;6;23;48;90;100;100;22972;15020;5;1
"market.yandex.ru";"купить екатеринбурге цена инструкция применению айфон 12";59741.29;64219.02;70253.83;73642.51;60957.69;-4477.73;-10512.54;-13901.22;-1216.4;1018656;1145573;733316;358888;294758;3280981;1140509;7;38;59;88;100;100;20;10;167;1
"ekaterinburg.leroymerlin.ru";"екатеринбург леруа мерлен каталог товаров сайт официальный";381.19;462.95;4246.92;6827.73;9255.29;-81.76;-3865.73;-6446.54;-8874.1;433;457;4679;7;7;79193;14689;20;70;79;96;100;100;1876;18126;5;1
"perevozka24.ru";"екатеринбург расстояние машине аренда москва казань тагил";498.25;474.44;429.81;355.42;237.32;23.81;68.44;142.83;260.93;19036;19123;6116;73;52;1534;6931;2;12;33;97;100;100;1530;617;29;1
"oboronmet.ru";"гост купить екатеринбург проволока 78 85 шестигранник";39.51;39.27;32.87;25.65;19.96;0.24;6.64;13.86;19.55;1415;1424;485;6;6;5311;1238;4;17;37;84;100;100;11585;6404;5;1
"invest-gbi.ru";"жби екатеринбург купить плиты инвестстрой перекрытия сайт";11.08;11.16;9.5;4.16;3.75;-0.08;1.58;6.92;7.33;276;277;136;82;71;318;228;6;21;40;89;100;100;30282;26500;5;1
"plitkaekb.ru";"плитка екатеринбурге купить тротуарная бехатон производителя недорого";33.73;31.64;32.87;33.87;23.71;2.09;0.86;-0.14;10.02;482;484;414;559;306;1874;161;10;37;56;92;100;100;13157;16519;5;1
"yandex.ru";"погода екатеринбург область карте дней 10 ул";443964.47;442518.37;430847.75;427364.65;414982.35;1446.1;13116.72;16599.82;28982.12;3239206;3748008;5449602;920399;37474;164234;3075169;12;33;49;90;100;100;2;2;292;1
"mskct.ru";"екатеринбурге купить утеплитель мск строительные технологии графит";6.03;6.29;4.75;5.94;11.54;-0.26;1.28;0.09;-5.51;348;348;74;298;146;2061;253;3;7;20;68;99;100;46784;21738;5;1
