Домен;Темы сайта;Видимость в поиске;Видимость 30 дней назад;Видимость 90 дней назад;Видимость 180 дней назад;Видимость 365 дней назад;Прогресс видимости за 30 дней;Прогресс видимости за 90 дней;Прогресс видимости за 180 дней;Прогресс видимости за 365 дней;Ключей в органике;Позиций в органике;Трафик;Ключей в контексте;Активных объявлений в контексте;Всего объявлений в контексте;Страницы;Процент в топ 1 по домену;Процент в топ 3 по домену;Процент в топ 5 по домену;Процент в топ 10 по домену;domain_organic_keywords_top20_procent;domain_organic_keywords_top30_procent;Рейтинг домена по трафику;Рейтинг домена по ключам;Пересекающиеся ключи;Похожесть
"xn--80acblbc8abhjhpohle1a.xn--p1ai";"щебня плотность карьер 20 насыпная стоимость 40";1.47;1.26;1.21;1.49;1.83;0.21;0.26;-0.02;-0.36;58;59;18;0;0;0;28;10;15;24;81;100;100;121083;91426;19;14
"polevskoi-mramor.com";"щебень екатеринбург купить мраморный песок микрокальцит белый";5.21;5.12;5.31;5.55;3.48;0.09;-0.1;-0.34;1.73;175;175;64;0;0;1;106;11;27;41;93;100;100;52092;38743;33;14
"career96.ru";"песок купить екатеринбурге щебень речной оптом тонну";1.55;2.01;1.21;1.19;0;-0.46;0.34;0.36;1.55;40;40;19;0;0;0;19;0;12;28;95;100;100;116134;119391;15;13
"stroymak.ru";"фракция щебень скала 120";0.9;0.59;0.37;0.3;0;0.31;0.53;0.6;0.9;20;20;11;0;0;0;5;15;35;45;95;100;100;158753;189304;10;13
"asfaltirovanie66.ru";"екатеринбург асфальтирование м2 асфальта цена демонтаж материалом";2.28;4.03;3.35;3.17;1.19;-1.75;-1.07;-0.89;1.09;81;81;28;68;23;412;18;1;14;32;96;100;100;91610;71141;20;13
"nerudniye-materialy.ru";"щебня уплотнения коэффициент плотность песка вторичный щелково";5.3;4.87;3.35;2.57;0.37;0.43;1.95;2.73;4.93;84;88;65;0;0;0;48;11;27;44;95;100;100;51661;69182;20;12
"nerudomatika.ru";"тк салар";0.24;0.25;0;0;0;-0.01;0.24;0.24;0.24;7;7;3;0;0;0;3;0;14;43;71;100;100;367367;388088;5;11
"baltsheben.ru";"";0.08;0.08;0.28;0.2;0.27;0;-0.2;-0.12;-0.19;23;24;1;0;0;0;17;4;8;33;88;100;100;506956;172891;10;11
"magazin.gk-znk.ru";"";0.08;0.08;0.09;0.1;0;0;-0.01;-0.02;0.08;8;8;1;0;0;0;3;0;25;50;75;100;100;481189;331111;5;10
"stroybeton76.ru";"фракция щебень скала утеплителя полистиролбетон плотность 120";1.71;1.76;1.49;0.4;0;-0.05;0.22;1.31;1.71;45;46;21;0;0;2;11;4;13;39;100;100;100;109778;109937;12;10
"ecomostorf.ru";"";0.33;0.25;0.47;0.5;0;0.08;-0.14;-0.17;0.33;8;8;4;0;0;0;4;12;38;50;100;100;100;273818;332652;5;10
"pesok166.ru";"песок купить екатеринбурге цена щебень 1м3 20";2.77;2.27;3.82;4.65;3.11;0.5;-1.05;-1.88;-0.34;52;52;34;0;0;0;15;4;25;38;94;100;100;79241;98409;13;10
"krutiha.com";"крутиха карьер область свердловская гранитный";2.77;2.85;3.91;4.16;3.66;-0.08;-1.14;-1.39;-0.89;33;34;34;0;0;9;17;12;32;47;85;97;100;80282;137677;9;9
"nkrss.ru";"";0.73;0.76;0.47;0.59;0.46;-0.03;0.26;0.14;0.27;34;35;9;2;2;10;23;6;26;34;77;100;100;184276;134037;9;9
"xn----7sbbumahgdz5aibf1d4b3e.xn--p1ai";"";0;0;0;0;0;0;0;0;0;9;9;0;0;0;0;7;0;0;11;100;100;100;;327329;5;9
"www.skala96.ru";"40 щебень 20";0.73;0.92;1.49;1.58;0.46;-0.19;-0.76;-0.85;0.27;23;23;9;0;0;76;10;4;9;30;91;100;100;185882;176054;8;9
"shebenshop.ru";"камень бутовый";0.33;0.34;0.19;0.2;0.18;-0.01;0.14;0.13;0.15;14;14;4;0;0;24;24;14;14;36;79;100;100;290510;242381;6;9
"xn----btblbvwc3g5ab.xn--p1ai";"купить песок щебень доставкой подольск чехове гравийный";3.1;1.85;1.12;0.2;0;1.25;1.98;2.9;3.1;65;67;38;0;0;0;40;15;31;52;97;100;100;74080;83973;13;9
"gruntovozov.ru";"екатеринбурге доставкой уголь купить отсев каменный почва";7.98;11.08;17.88;27.43;37.81;-3.1;-9.9;-19.45;-29.83;342;345;98;0;0;0;318;7;25;43;95;100;100;38529;22064;31;9
"dostavka-sheben-pesok.ru";"песка плотность щебня коэффициент уплотнения пгс м3";6.44;6.55;7.17;6.24;5.13;-0.11;-0.73;0.2;1.31;115;120;79;0;0;0;24;23;38;51;98;100;100;44559;53828;16;8
"asfaltirovanie.ru";"щебня плотность 40 20 куб насыпная весит";2.85;2.77;2.05;2.38;2.11;0.08;0.8;0.47;0.74;56;57;35;0;0;2;11;12;44;68;95;100;100;78429;93798;11;8
"stroyscheben.ru";"щебень вторичный плотность купить доставкой 40 истра";0.16;0.34;0.47;0.59;0.18;-0.18;-0.31;-0.43;-0.02;36;36;2;0;0;0;17;0;3;14;89;100;100;400766;128123;9;8
"72taktika.ru";"бетона щебень фракции марк смесь прочности набора";10.1;11.66;13.22;12.58;5.49;-1.56;-3.12;-2.48;4.61;196;200;124;0;0;0;41;20;42;61;96;100;100;32388;35202;20;8
"xn--90ahb6abfh7e5a.xn--p1ai";"екатеринбурге щебень карьер сагра купить";0.57;2.18;3.63;5.05;2.93;-1.61;-3.06;-4.48;-2.36;11;11;7;0;0;0;6;18;18;27;91;100;100;210359;280973;5;8
"kapiteltk.com";"екатеринбурге купить щебень мраморный отсев мешках песок";6.11;6.29;6.8;5.94;5.86;-0.18;-0.69;0.17;0.25;146;146;75;0;0;12;64;8;15;32;85;99;100;46578;44761;17;8
"nsmural.ru";"ураласбест урал нсм асбест";1.63;1.59;1.12;1.29;3.3;0.04;0.51;0.34;-1.67;24;26;20;65;25;51;14;19;42;69;92;100;100;114148;172018;7;8
