Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"скала доставка";7;2;;;136;8;29;3;3;2.5;481000;"www.transparent-ekb.ru";"/skala";
"транспарент";9;1;;;3170;206;31;3;3;0.3;2000000;"www.transparent-ekb.ru";"/";
"сколько стоит 1 камаз земли";12;5;1;;10;4;2;2;2;0.3;3000000;"www.transparent-ekb.ru";"/grunt";
"камаз земли сколько стоит";5;4;1;;926;17;11;3;2;12.8;921000;"www.transparent-ekb.ru";"/grunt";
"песок бочкариха";7;2;;;5;2;5;2;2;64.2;200000;"www.transparent-ekb.ru";"/pesokb1/5";
