Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"гравийная смесь";1;2;;;10214;20;202;3;3;0.3;228000;"ntk-ekb.ru";"/catalog/otsev/peschano-graviynaya-smes/";4
"фракция щебня 5 20";2;4;;;3637;127;54;7;3;27;3000000;"ntk-ekb.ru";"/catalog/scheben/scheben-fraktsiya-5-20-mm/";3
"белый песок купить в екатеринбурге";7;5;;1;18;2;16;3;2;9.4;2000;"ntk-ekb.ru";"/catalog/pesok/pesok-stroitelnyy-belyy/";1
"отсев стоимость за куб";2;4;;;40;7;6;2;2;0.3;814000;"ntk-ekb.ru";"/catalog/otsev/";1
"купить белый песок";8;3;;;809;14;12;2;2;0.3;1000000;"ntk-ekb.ru";"/catalog/pesok/pesok-stroitelnyy-belyy/";4
"дресьва цена екатеринбург с доставкой за куб";4;7;;1;2;2;2;2;2;0.3;1000000;"ntk-ekb.ru";"/catalog/grunt/dresva/";2
"смесь песчано гравийная";1;3;;;10914;76;206;16;2;40.5;183000;"ntk-ekb.ru";"/catalog/otsev/peschano-graviynaya-smes/";6
"песок цена за 1 м3";3;5;;;2080;288;10;2;2;0.3;4000000;"ntk-ekb.ru";"/catalog/pesok/";1
"щебень цена за 1 м3";5;5;;;2975;90;124;5;2;19.7;4000000;"ntk-ekb.ru";"/catalog/scheben/";2
"мелкий щебень";7;2;;;2491;302;40;3;2;0.3;254000;"ntk-ekb.ru";"/catalog/scheben/";1
"где купить перегной в мешках";3;5;1;;265;40;9;4;2;13.5;1000000;"ntk-ekb.ru";"/catalog/chernozem/peregnoy/";8
"щебень гранитный с доставкой";5;4;;;1828;207;12;2;2;15.1;432000;"ntk-ekb.ru";"/catalog/scheben/scheben-fraktsii-20-40-mm/";1
"перегной купить";6;2;;;5860;129;52;2;2;0.3;2000;"ntk-ekb.ru";"/catalog/chernozem/peregnoy/";2
"гравий речной 5 20";5;4;;;9;4;2;2;2;0.3;3000000;"ntk-ekb.ru";"/catalog/scheben/scheben-graviynyy-fraktsiya-5-20-mm/";5
"щебень свердловская область";10;3;;1;136;2;37;2;2;40.1;572000;"ntk-ekb.ru";"/catalog/scheben/";2
"крошка мраморная";8;2;;;26883;101;441;17;2;36.8;2000;"ntk-ekb.ru";"/catalog/otsev/mramornaya-kroshka/";1
"купить щебень мелкой фракции";4;4;;;116;13;6;2;2;0.3;692000;"ntk-ekb.ru";"/catalog/scheben/";1
"щпс купить";3;2;;;1081;285;13;2;2;91;756000;"ntk-ekb.ru";"/catalog/scheben/schebenochno-pesochnaya-smes/";3
"перегной купить в екатеринбурге с доставкой цена";2;7;;1;8;2;12;12;2;30.5;1000000;"ntk-ekb.ru";"/catalog/chernozem/peregnoy/";5
"щебень фракции 40 70";1;4;;;1393;113;30;3;2;9.8;1000000;"ntk-ekb.ru";"/catalog/scheben/scheben-fraktsiya-40-70-mm/";3
"купить скальный грунт";3;3;;;204;7;37;3;2;32.9;706000;"ntk-ekb.ru";"/catalog/skala/";1
"чернозем купить с доставкой екатеринбург недорого";5;6;;1;2;2;2;2;2;0.3;796000;"ntk-ekb.ru";"/catalog/chernozem/";4
"песок в биг бэгах";6;4;;;753;69;20;2;2;0.3;281000;"ntk-ekb.ru";"/catalog/pesok/pesok-dlya-betona/";7
"перегной купить с доставкой";2;4;;;6258;78;130;2;2;13.3;13000;"ntk-ekb.ru";"/catalog/chernozem/peregnoy/";5
"песок для песочницы купить";6;4;;;450;26;19;7;2;18.2;740000;"ntk-ekb.ru";"/catalog/pesok/pesok-dlya-pesochnits/";1
"чернозем купить в екатеринбурге";3;4;;1;37;3;26;3;2;7.2;746000;"ntk-ekb.ru";"/catalog/chernozem/";1
"гравий цена за тонну";10;4;;;156;11;3;2;2;0.3;853000;"ntk-ekb.ru";"/catalog/scheben/graviynyy/";1
"щебень фракции 5 10";3;4;;;752;25;21;2;2;0.3;3000000;"ntk-ekb.ru";"/catalog/scheben/scheben-fraktsiya-5-10-mm/";3
"где купить песок для песочницы";7;5;1;;21;10;2;2;2;18.6;1000000;"ntk-ekb.ru";"/catalog/pesok/pesok-dlya-pesochnits/";15
