Домен;Страница;Трафик;Ключей в органике;Процент в топ 1 по странице;Процент в топ 3 по странице;Процент в топ 5 по странице;Процент в топ 10 по странице;page_organic_keywords_top20_procent;page_organic_keywords_top30_procent
"www.keramzit66.ru";"/catalog/sheben/za-kub/SHeben-40-70-2.html";1;2;0;0;100;100;100;100
"www.keramzit66.ru";"/catalog/stroitelnyy-blok/";1;2;0;0;0;50;100;100
"www.keramzit66.ru";"/catalog/glina/dlya-gidrozamka/glina-v-meshkah.html";1;1;0;100;100;100;100;100
"www.keramzit66.ru";"/catalog/keramzitobeton/m3-kub/";1;2;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/cement/pts-400/Cement-PC-400-v-meshkah-po-50kg.html";1;1;0;0;100;100;100;100
"www.keramzit66.ru";"/catalog/keramzit/v-meshkah/keramzit_frakcii_5_10-1.html";1;2;0;50;50;50;100;100
"www.keramzit66.ru";"/catalog/pesok/kvartsevyy-pesok/pesok_kvarc_025_v_mkr-1-1-1.html";1;3;0;0;67;67;100;100
"www.keramzit66.ru";"/catalog/skala/skala_0_300.html";1;2;0;0;50;100;100;100
"www.keramzit66.ru";"/catalog/keramzitobeton/m3-kub/keramzitobeton_s_dostavkoi.html";1;1;0;100;100;100;100;100
"www.keramzit66.ru";"/catalog/mramor/dolomitovaya-muka/krohka-mramornaja-ekaterinburg-seraja-50kg-1.html";1;1;0;100;100;100;100;100
"www.keramzit66.ru";"/catalog/sheben/";1;4;0;0;25;50;100;100
"www.keramzit66.ru";"/catalog/dresva/v-meshkah/dresva_0_20.html";1;2;0;0;50;100;100;100
"www.keramzit66.ru";"/catalog/zemla/zemla-cernozem.html";1;2;0;0;50;100;100;100
"www.keramzit66.ru";"/catalog/asfalt/asfalt-peschanaya-smes/asfalt-krasnyy-dlya-velodorozhek-trotuarov.html";1;1;100;100;100;100;100;100
"www.keramzit66.ru";"/catalog/torf/";1;6;0;0;17;67;100;100
"www.keramzit66.ru";"/catalog/pesok/pesok_ekaterinburg_stroitelniy-1-1.html";1;4;0;0;25;100;100;100
"www.keramzit66.ru";"/catalog/stroitelnyy-blok/keramzitoblok/keramzitoblok_m75-1-1-1.html";1;2;0;0;50;100;100;100
"www.keramzit66.ru";"/catalog/izvest/dlya-shtukaturki/izvestkovii-rastvor-v-meshkah.html";1;3;33;33;67;100;100;100
"www.keramzit66.ru";"/catalog/sheben/za-kub/SHeben-20-40.html";1;2;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/kerpich/silikatnyy/kirpich-silikatnyy-pustotelyy-zheltyy.html";1;1;0;0;100;100;100;100
"www.keramzit66.ru";"/catalog/sheben/sheben_73.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/opil/Drevesnii-opil-v-meshkah.html";0;1;0;100;100;100;100;100
"www.keramzit66.ru";"/catalog/sheben/sheben_71.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/otsev/otsev_mkr.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/pesok/formovochnyy/pesok_kvarc_025_v_mkr-1.html";0;1;0;0;100;100;100;100
"www.keramzit66.ru";"/catalog/glina/bentonitovaya/glina_14_m3-PBMB_25.html";0;2;0;0;50;100;100;100
"www.keramzit66.ru";"/catalog/bitumnay-emulsia/emulsiya-bitumnaya-kationnaya-dorozhnaya-ebdk-s.html";0;1;0;0;100;100;100;100
"www.keramzit66.ru";"/catalog/otsev/otsev_granit.html";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/asfalt/asfalt-1.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/Tvinblok/";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/cement/m-400/";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/dresva/dresva_0_20.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/gel-lep/sv-95/opora_sv-95.html";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/keramzit/Keramzit-26-m3-fr10-20.html";0;1;0;100;100;100;100;100
"www.keramzit66.ru";"/catalog/stroitelnyy-blok/betonnye-bloki/";0;1;0;0;100;100;100;100
"www.keramzit66.ru";"/catalog/gel-lep/";0;4;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/skala/grunt/";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/asfalt/asfalt_srezka.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/torf/verhovoy-torf/";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/cement/Cement-marka-400-v-meshkah-mkr.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/asfalt/";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/delivery/";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/pesok/pesok_berezovskiy_ekaterinburg_6.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/cement/cement_54.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/torf/v-meshkah/torf-v-mkr.html";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/opil/";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/torf/torf-pesok-v-mkr.html";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/mramor/kvartsevaya-kroshka/krohka-kvarc-ekaterinburg-belaja-mkr.html";0;1;0;100;100;100;100;100
"www.keramzit66.ru";"/catalog/ugol/";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/kerpich/keramicheskiy/kirpich-keramicheskiy-ryadovoy-polnotelyy-odinarnyy.html";0;2;0;0;50;100;100;100
"www.keramzit66.ru";"/uslugi/";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/beton/betonnaya-plita/Beton_1-1.html";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/keramzit/v-meshkah/Keramzit-fr-10-20-2l.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/torf/torf-499.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/keramzit/v-meshkah/keramzit_v_mkr_kupit.html";0;1;0;100;100;100;100;100
"www.keramzit66.ru";"/catalog/cement/pts-400/Cement-PC-400-v-meshkah-po-50kg-2.html";0;1;0;0;100;100;100;100
"www.keramzit66.ru";"/catalog/dere-lep/opori-LEP-stolbi-dlina-11m.html";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/cement/cement_52.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/keramzit/v-meshkah/";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/stroitelnyy-blok/keramzitoblok/keramzitoblok_m75.html";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/pesok/dlya-styazhki/pesok_kamichlov_ekaterinburg-1.html";0;1;0;100;100;100;100;100
"www.keramzit66.ru";"/catalog/pesok/pesok_kamichlov_ekaterinburg_6.html";0;1;0;0;100;100;100;100
"www.keramzit66.ru";"/catalog/glina/bentonitovaya/glina_14_m3-PBMB.html";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/keramzit/keramzit_frakcii_5_10.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/beton/Beton_1-1.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/sheben/SHeben-5-10-5-20-20-40-40-70mm-v-meshkah-25kg.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/bitumnay-emulsia/emulsia-ebk2-1-2-1.html";0;2;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/sheben/sheben_36.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/mramor/krohka-mramornaja-ekaterinburg-belaja.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/keramzit/keramzit_v_mkr_ekaterinburg.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/dresva/v-meshkah/";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/asfalt/asfalt_v_meshkah.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/cement/SHpaklevka-BROZEKS-WR600-KR-FINISH.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/sheben/za-kub/SHeben-40-70mm-isetskogo-shebenochnogo-karera.html";0;2;0;0;50;100;100;100
"www.keramzit66.ru";"/catalog/pesok/kvartsevyy-pesok/pesok_kvarc_025_v_mkr08_20kg.html";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/sheben/sheben_79.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/skala/grunt/skala_500.html";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/ugol/Ugol-dpk-50kg.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/cement/cement_26.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/dresva/";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/skala/";0;0;0;0;0;0;0;0
