Ключ;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Главных страниц в топ 10;Главных страниц в топ 50;PPC объявления;Вес ключа
"купить щебень и отсев в екатеринбурге с доставкой цена";9;;1;22;22;19;19;19;48.5;1000000;0;0;9;3
"купить щебень с доставкой";4;;;19680;625;453;12;12;58.6;910000;0;0;8;3
"отсев купить в екатеринбурге";4;;1;556;71;454;55;55;144;810000;0;0;8;3
"песок купить в екатеринбурге";4;;1;832;30;603;39;22;39.5;759000;1;1;0;3
"песок из отсевов дробления";4;;;790;63;53;5;5;0.3;237000;0;0;7;3
"асфальтобетон купить";2;;;960;69;18;5;5;3.8;807000;0;2;0;3
"купить отсев в екатеринбурге с доставкой";6;;1;35;2;32;3;2;241.7;733000;0;0;0;3
"песок екатеринбург";2;;1;2801;5;1927;76;3;15.1;209000;0;0;0;3
"песок цена за 1 м3";5;;;2080;288;10;2;2;0.3;4000000;0;0;0;3
"щебень доставка екатеринбург";3;;1;941;4;762;27;3;156.9;403000;0;0;0;3
"дресва купить в екатеринбурге с доставкой цена за куб";9;;1;2;2;4;4;2;0.3;1000000;0;0;0;3
"щпс с4 цена";3;;;32;15;2;2;2;0.3;4000000;0;0;0;3
"щебень купить в екатеринбурге с доставкой цена";7;;1;172;4;143;11;4;93;1000000;0;0;8;3
"отсев щебня цена за тонну";5;;;187;48;5;2;2;11.6;957000;0;0;7;3
"щебень куб цена";3;;;5456;59;67;4;4;67.2;721000;0;0;7;3
"скала купить в екатеринбурге";4;;1;75;7;55;7;7;5.7;801000;0;0;0;3
"пгс цена";2;;;5426;164;41;2;2;0.3;914000;0;0;6;2
"щебень 70 120";3;;;293;32;12;3;3;27.3;635000;0;0;0;2
"скала купить в екатеринбурге с доставкой";6;;1;44;5;34;12;5;46.7;933000;0;0;9;2
"сколько стоит камаз щебня";4;1;;675;156;24;5;5;12.9;2000;0;0;9;2
"щпс 0 10";3;;;53;13;11;3;3;0.3;3000000;0;0;0;2
"щебенка 20 40";3;;;290;17;6;2;2;0.3;3000000;0;0;9;2
"щебень камаз";2;;;4582;28;176;4;4;23.7;212000;0;0;7;2
"цена асфальта за тонну";4;;;995;110;6;6;2;0.3;759000;0;0;0;2
"смесь песчано гравийная природная цена";5;;;68;8;4;2;2;0.3;822000;0;0;7;2
"песок для строительных работ природный";5;;;1454;16;31;2;2;0.3;1000000;0;0;7;2
"бут камень";2;;;712;101;10;2;2;0.3;263000;0;0;0;2
"песок для детской песочницы купить";5;;;403;17;11;2;2;0.3;1000000;0;0;7;2
"щебень 5 20 цена";4;;;5286;201;173;5;5;13.9;3000000;0;0;7;2
"сколько стоит асфальт";3;1;;5955;293;61;2;2;0.3;772000;0;0;8;2
"речной песок";2;;;27330;655;379;4;2;21.7;240000;0;0;7;2
"дресьва цена екатеринбург с доставкой за куб";7;;1;2;2;2;2;2;0.3;1000000;0;0;0;2
"песчано щебеночная смесь фракция 0 20 мм";7;;;20;4;2;2;2;0.3;3000000;0;0;6;2
"дресьва цена екатеринбург";3;;1;45;10;32;7;7;1.1;8000;0;0;6;2
"купить холодный асфальт в екатеринбурге";5;;1;349;13;238;30;10;82.6;850000;0;0;8;2
"гранитный щебень 5 20 цена";5;;;497;56;15;9;9;0.3;3000000;0;0;6;2
"песок для песочницы купить в екатеринбурге";6;;1;18;6;11;5;5;5.3;852000;0;0;0;2
"песок оптом";2;;;1791;262;46;15;15;0.3;291000;2;2;0;2
"песок речной мытый";3;;;512;68;8;2;2;30;400000;0;0;0;2
"песок для песочницы купить";4;;;450;26;19;7;2;18.2;740000;0;0;0;2
"купить асфальт в екатеринбурге";4;;1;183;2;104;10;2;43.7;1000000;1;1;9;2
"камень бутовый";2;;;11479;244;161;26;3;53.7;270000;0;0;7;2
"дресва купить";2;;;1220;45;210;8;8;21.5;833000;0;0;4;2
"купить щебень 70 120";4;;;91;4;6;2;2;0.3;1000000;0;0;9;2
"песок для детской площадки купить";5;;;74;4;8;2;2;0.3;1000000;0;0;9;2
"песок природный";2;;;6593;266;92;5;2;0.3;280000;0;0;7;2
"отсев";1;;;36260;1182;1158;43;29;70.5;2000000;0;0;0;2
"песок купить";2;;;107592;1354;1703;49;34;32;721000;1;1;0;2
"куплю гранитный щебень";3;;;8225;226;67;23;6;13.2;708000;0;0;0;2
"мытый песок купить";3;;;2386;71;24;6;6;0.3;1000000;0;0;9;2
"песчано гравийная смесь под фундамент";5;;;11;4;3;3;3;0.3;259000;0;0;0;2
"отсев гравийный фракция 0 5 мм цена";7;;;36;22;12;4;4;0.3;4000000;0;0;10;2
"купить песок";2;;;101333;738;1329;30;7;52.1;813000;0;0;8;2
"песок купить екатеринбург";3;;1;518;6;348;8;3;87.4;1000000;0;0;8;2
"асфальт купить в екатеринбурге цена";5;;1;224;17;145;8;8;49;1000000;0;0;8;2
"щебень 1200 фракция 20 40";5;;;45;6;3;3;3;0.3;2000000;0;0;0;2
"щебень отсев купить";3;;;204;5;8;3;2;25.5;662000;0;0;0;2
"щебень фракции 5 20";4;;;2410;165;48;7;4;27;3000000;0;0;0;2
"асфальт купить";2;;;8941;98;129;8;2;35.6;717000;0;0;0;2
"щебень цена за м3";4;;;3545;295;64;14;14;35.2;3000000;1;1;0;2
"скальный грунт купить в екатеринбурге с доставкой";7;;1;14;8;9;6;6;124.8;984000;0;0;9;2
"щебень 0 5 мм";4;;;210;18;8;2;2;0.3;3000000;0;0;9;2
"асфальт купить в екатеринбурге";4;;1;646;28;440;18;18;47.7;883000;1;1;9;2
"щебень м 400 фракция 10 20 мм группа 2";9;;;10;5;3;3;3;0.3;3000000;0;0;3;2
"щебень купить екатеринбург";3;;1;1500;25;1117;50;21;115;2000;0;0;9;2
"щебень доставка";2;;;38136;64;1319;9;3;65.8;2000;1;1;10;2
"асфальт";1;;;1292401;27067;19276;444;444;122.6;2000000;0;0;0;2
"щебень 5 10 цена за куб";6;;;100;23;6;5;5;3.4;2000;0;0;9;2
"щебень стоимость за тонну";4;;;390;74;23;22;21;17.6;507000;0;0;8;2
"асфальт купить екатеринбург";3;;1;845;5;539;4;4;12.2;862000;0;0;9;2
"асфальт купить цена за 1 тонну";6;;;93;57;8;2;2;15.3;3000000;0;0;8;2
"дресьва цена екатеринбург с доставкой";5;;1;31;13;25;13;9;30.8;743000;0;0;2;2
"камаз щебня цена";3;;;1505;348;60;21;21;46.9;701000;0;0;6;2
"щебень гравийный купить";3;;;3312;149;19;11;3;0.3;676000;1;1;0;2
"купить бутовый камень";3;;;1846;61;55;5;2;4.5;766000;0;0;5;2
"щебень гранитный с доставкой";4;;;1828;207;12;2;2;15.1;432000;0;0;0;2
"щебень 10х20";2;;;17;5;4;2;2;0.3;3000000;0;0;0;2
"купить песок в екатеринбурге с доставкой цена";7;;1;96;5;71;13;4;181.4;1000000;0;0;9;2
"сколько стоит асфальт 1 кв метр цена";7;1;;300;118;6;6;5;33.6;4000000;1;1;0;2
"машина щебня с доставкой цена";5;;;366;309;14;6;6;89.1;1000000;0;0;9;2
"щебень фракции 5 10";4;;;752;25;21;2;2;0.3;3000000;0;0;0;2
"карьерный песок с доставкой";4;;;2928;162;50;6;6;0.3;485000;0;0;0;2
"песок для песочниц";3;;;5552;53;155;27;4;54.9;194000;0;0;6;2
"щебень тонна цена";3;;;4241;52;35;8;8;55.8;858000;0;0;0;2
"щебень купить м3";3;;;349;133;11;9;9;0.3;3000000;0;0;0;2
"щебень цена";2;;;30103;855;338;5;5;53.2;805000;0;0;0;2
"песок цена за тонну с доставкой";6;;;484;171;4;3;3;0.3;809000;0;0;0;2
"щебень екатеринбург";2;;1;1038;51;594;43;23;137.4;156000;1;1;0;2
"купить щебень гранитный";3;;;8108;288;59;12;3;139.8;745000;0;0;0;2
"купить асфальт в екатеринбурге с доставкой цена";7;;1;12;5;8;5;5;82.2;1000000;0;0;4;2
"купить песок для песочницы в екатеринбурге";6;;1;10;2;7;7;2;10.9;831000;0;0;0;2
"смесь песчано гравийная природная";4;;;771;292;25;7;7;0.3;295000;0;0;0;2
"смесь песчано гравийная";3;;;10914;76;206;16;2;40.5;183000;0;0;0;2
"песок речной купить в екатеринбурге с доставкой цена за куб";10;;1;2;2;8;8;2;12.2;1000000;0;0;0;2
"песок цена";2;;;51528;580;2304;7;7;66.2;11000;1;1;0;2
"щебень купить дешево";3;;;230;2;3;2;2;0.3;754000;0;1;0;2
"песок строительный цена";3;;;4588;468;59;13;13;22.3;844000;1;1;0;2
"песок для стяжки пола цена за м3";7;;;17;17;2;2;2;0.3;3000000;1;1;0;2
"песок бочкариха";2;;;5;2;5;2;2;64.2;200000;0;0;0;2
"щебень м 800 фракция 20 40 мм группа 2";9;;;81;32;4;3;3;0.3;3000000;0;0;1;2
