Ключ;Вес ключа;Похожесть на исходные фразы;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Главных страниц в топ 10;Главных страниц в топ 50;PPC объявления
"дресьва";3;16;1;;;1797;396;416;88;88;46.3;5000;0;0;3
"мраморный щебень купить в екатеринбурге";5;15;5;;1;7;3;4;3;3;0.3;860000;0;0;0
"щебень купить в екатеринбурге с доставкой цена";5;15;7;;1;172;4;143;11;4;93;1000000;0;0;8
"крошка мраморная купить";4;15;3;;;13643;48;230;31;2;76.3;851000;0;0;9
"щебень доставка екатеринбург";5;15;3;;1;941;4;762;27;3;156.9;403000;0;0;0
"купить керамзит в екатеринбурге с доставкой цена за куб";3;15;9;;1;9;6;6;5;5;0.3;2000;0;0;9
"щебень купить 1 куб цена";3;15;5;;;25;15;6;6;6;0.3;4000000;0;0;6
"цена на щебень за куб с доставкой";5;15;7;;;72;12;2;2;2;15.5;2000;0;0;9
"скальники спортмастер";5;15;2;;;52;16;6;3;2;39;197000;0;0;0
"щебень купить екатеринбург";4;14;3;;1;1500;25;1117;50;21;115;2000;0;0;9
"щебень купить м3";3;14;3;;;349;133;11;9;9;0.3;3000000;0;0;0
"песок сухой плотность";2;14;3;;;460;4;15;2;2;0.3;165000;0;0;0
"щебень стоимость за тонну";4;14;4;;;390;74;23;22;21;17.6;507000;0;0;8
"щебень купить дешево";4;14;3;;;230;2;3;2;2;0.3;754000;0;1;0
"щебень цена за 1 м3 с доставкой";4;14;7;;;916;143;32;3;2;0.3;4000000;1;1;0
"цена щебня за куб";4;14;4;;;4018;63;38;2;2;0.3;733000;0;0;0
"купить отсев в екатеринбурге с доставкой цена за куб";5;14;9;;1;44;11;42;19;11;73;7000;0;0;9
"заказать щебень с доставкой в екатеринбурге";5;13;6;;1;7;4;6;6;3;180;564000;0;0;8
"щебень цена за м3";3;13;4;;;3545;295;64;14;14;35.2;3000000;1;1;0
"сколько стоит 1 куб щебня";3;13;5;1;;516;29;5;2;2;0.3;3000000;0;0;9
"мраморная крошка цена";4;13;3;;;3676;169;32;3;3;12;2000;0;0;8
"керамзит екатеринбург купить";4;13;3;;1;285;2;146;11;2;32.21;681000;1;1;4
"холодный асфальт купить";5;13;3;;;5381;697;96;12;6;69.2;1000000;0;0;8
"щебень тонна цена";4;13;3;;;4241;52;35;8;8;55.8;858000;0;0;0
"щебень стоимость 1 м3";2;13;4;;;768;21;25;3;3;25.5;4000000;1;1;0
"керамзит в мешках купить в екатеринбурге";3;12;6;;1;55;4;34;16;4;13.9;809000;1;1;0
"скальники купить спортмастер";4;12;3;;;10;4;3;2;2;0.3;904000;0;0;7
"щебень купить в екатеринбурге";5;12;4;;1;254;39;167;34;29;238.5;772000;1;1;8
"щебень цена";4;12;2;;;30103;855;338;5;5;53.2;805000;0;0;0
"асфальт холодный купить";5;12;3;;;12914;69;364;52;4;75.1;15000;1;1;9
"сколько стоит мраморная крошка";3;12;4;1;;536;35;14;2;2;0.3;2000;0;0;8
"купить керамзит в свердловской области";5;12;5;;1;12;6;2;2;2;0.3;1000000;0;0;0
"пщс";5;12;1;;;1972;165;237;30;21;18.6;2000000;0;0;0
"купить щебень с доставкой";4;12;4;;;19680;625;453;12;12;58.6;910000;0;0;8
"холодный асфальт в мешках купить";5;12;5;;;1560;237;33;2;2;5.2;818000;0;0;1
"дресва купить";5;12;2;;;1220;45;210;8;8;21.5;833000;0;0;4
"мраморная крошка белая купить в екатеринбурге";3;12;6;;1;4;2;2;2;2;0.3;839000;0;0;0
"асфальт холодный цена";5;11;3;;;513;3;6;3;3;8.8;905000;0;0;0
"холодный асфальт";3;11;2;;;8526;1053;166;21;18;9.6;301000;0;0;0
"отсев";2;11;1;;;36260;1182;1158;43;29;70.5;2000000;0;0;0
"щебень отсев купить";5;11;3;;;204;5;8;3;2;25.5;662000;0;0;0
"сколько стоят скальники";4;11;3;1;;62;3;3;2;2;0.3;651000;0;0;8
"холодный асфальт цена";5;11;3;;;2736;408;72;4;4;0.3;898000;0;0;9
"керамзит крупный";4;11;2;;;328;15;15;2;2;0.3;10000;1;1;9
"купить щебень в екатеринбурге";4;11;4;;1;842;59;581;247;34;101.7;769000;0;0;0
"керамзит стройдвор";2;11;2;;;33;6;2;2;2;0.3;132000;0;0;9
"купить мраморный щебень оптом от производителя";3;11;6;;;8;7;4;4;4;0.3;843000;1;1;9
"купить холодный асфальт";4;11;3;;;5288;164;79;6;6;22.1;784000;0;0;3
"купить щебень в екатеринбурге с доставкой цена";4;10;7;;1;199;91;139;108;63;57.4;7000;0;0;0
"щебень 20 40 цена за 1 м3 с доставкой екатеринбург";2;10;10;;1;43;42;33;32;32;128.2;4000000;0;0;4
"отсев купить в екатеринбурге с доставкой";5;10;6;;1;232;5;220;12;5;73.4;1000000;0;0;9
"щебень купить в екатеринбурге с доставкой";5;10;6;;1;68;11;50;14;5;23.3;773000;0;0;0
"керамзит в мкр";3;10;3;;;110;9;14;2;2;19.4;479000;0;0;7
"отсев фракция";4;10;2;;;1862;60;106;6;6;13.7;191000;0;0;9
"холодный асфальт купить в мешках";4;10;5;;;671;79;21;3;2;3.3;958000;0;0;0
"купить щебень екатеринбург";4;10;3;;1;320;19;199;15;10;110.7;707000;1;1;0
"сколько стоит один куб керамзита";4;10;5;1;;3;2;2;2;2;0.3;2000000;0;0;0
"керамзит купить в екатеринбурге цена за мешок";4;10;7;;1;5;5;4;4;4;0.3;858000;0;0;0
"где можно купить отсев для тротуарной плитки";5;10;7;1;;7;4;4;4;4;0.3;2000000;0;0;8
"щебень";3;10;1;;;560561;7212;12479;173;173;131.7;2000000;0;0;6
"сколько стоит камаз щебня в екатеринбурге";4;10;6;1;1;14;11;10;10;10;15.1;713000;0;0;0
"мешок керамзита цена";2;9;3;;;2661;29;40;2;2;17.2;707000;0;0;0
"щебень 20 40 цена за 1 м3";2;9;7;;;2105;1057;134;6;6;33;4000000;0;0;9
"мраморная крошка оптом";3;9;3;;;311;62;9;2;2;0.3;267000;0;0;0
"щебень екатеринбург";4;9;2;;1;1038;51;594;43;23;137.4;156000;1;1;0
"купить мраморную крошку оптом";3;9;4;;;89;5;10;10;4;2.3;745000;0;0;6
"дресьва цена екатеринбург с доставкой";3;9;5;;1;31;13;25;13;9;30.8;743000;0;0;2
"сколько стоит камаз щебня";3;9;4;1;;675;156;24;5;5;12.9;2000;0;0;9
"камаз щебня цена";3;9;3;;;1505;348;60;21;21;46.9;701000;0;0;6
"керамзит купить в мешках";2;9;4;;;4862;157;66;5;4;46.2;752000;0;0;0
"щебенка купить";3;9;2;;;7993;159;125;5;5;44.1;17000;0;0;9
"керамзит в мешках";2;9;3;;;7061;329;115;4;4;31.8;229000;0;0;0
"щебень для дренажа купить";3;9;4;;;81;7;4;3;3;0.3;674000;0;0;0
"керамзит максидом";3;9;2;;;34;7;3;2;2;0.3;135000;0;0;0
